,start,end,timenow,time,num
138,"(24.1837584, 120.6037066)","(24.1530868, 120.6191845)",2018-01-09 09:28:00,14 だ,1.0
139,"(24.1837584, 120.6037066)","(24.1375982, 120.6414666)",2018-01-09 08:23:00,23 だ,1.0
140,"(24.1837584, 120.6037066)","(24.1656397, 120.6609014)",2018-01-09 06:42:00,24 だ,1.0
141,"(24.1837584, 120.6037066)","(24.1036956, 120.5028808)",2018-01-09 19:03:00,29 だ,1.0
142,"(24.1837584, 120.6037066)","(24.1501645, 120.6893427)",2018-01-09 09:27:00,34 だ,1.0
143,"(24.1837584, 120.6037066)","(24.1768539, 120.5737814)",2018-01-09 10:30:00,13 だ,1.0
144,"(24.1837584, 120.6037066)","(24.1402799, 120.5239619)",2018-01-09 14:45:00,19 だ,1.0
145,"(24.1837584, 120.6037066)","(24.126324, 120.6360587)",2018-01-09 15:35:00,23 だ,1.0
146,"(24.1837584, 120.6037066)","(24.1603193, 120.5328383)",2018-01-09 06:05:00,29 だ,1.0
147,"(24.1837584, 120.6037066)","(24.1971194, 120.5876999)",2018-01-09 18:41:00,10 だ,1.0
148,"(24.1837584, 120.6037066)","(24.1206255, 120.6405555)",2018-01-09 21:56:00,24 だ,1.0
149,"(24.1837584, 120.6037066)","(24.1215996, 120.606383)",2018-01-09 21:01:00,24 だ,1.0
150,"(24.1837584, 120.6037066)","(24.17971, 120.6245162)",2018-01-09 08:25:00,10 だ,1.0
151,"(24.1837584, 120.6037066)","(24.1320704, 120.6369444)",2018-01-09 14:09:00,24 だ,1.0
152,"(24.1837584, 120.6037066)","(24.1253042, 120.6845709)",2018-01-09 20:29:00,36 だ,1.0
153,"(24.1837584, 120.6037066)","(24.1930821, 120.696977)",2018-01-09 11:44:00,23 だ,1.0
154,"(24.1837584, 120.6037066)","(24.1017282, 120.6276408)",2018-01-09 06:55:00,23 だ,1.0
155,"(24.1837584, 120.6037066)","(24.1514732, 120.5020535)",2018-01-09 14:52:00,22 だ,1.0
156,"(24.1837584, 120.6037066)","(24.122109, 120.6499883)",2018-01-09 10:28:00,28 だ,1.0
157,"(24.1837584, 120.6037066)","(24.172493, 120.6056827)",2018-01-09 10:54:00,13 だ,1.0
158,"(24.1837584, 120.6037066)","(24.190462, 120.5582894)",2018-01-09 12:10:00,13 だ,1.0
159,"(24.1837584, 120.6037066)","(24.1897054, 120.5400463)",2018-01-09 18:05:00,20 だ,1.0
160,"(24.1837584, 120.6037066)","(24.1014495, 120.6805849)",2018-01-09 19:54:00,35 だ,1.0
161,"(24.1837584, 120.6037066)","(24.1943821, 120.6224977)",2018-01-09 04:46:00,10 だ,1.0
162,"(24.1837584, 120.6037066)","(24.1136366, 120.6163915)",2018-01-09 09:48:00,19 だ,1.0
163,"(24.1837584, 120.6037066)","(24.1754768, 120.6510222)",2018-01-09 14:35:00,20 だ,1.0
164,"(24.1837584, 120.6037066)","(24.1654277, 120.6851446)",2018-01-09 19:51:00,30 だ,1.0
165,"(24.1837584, 120.6037066)","(24.1633126, 120.5270476)",2018-01-09 06:41:00,30 だ,1.0
166,"(24.1837584, 120.6037066)","(24.1192854, 120.6821688)",2018-01-09 10:20:00,37 だ,1.0
167,"(24.1837584, 120.6037066)","(24.192437, 120.5025719)",2018-01-09 08:13:00,25 だ,1.0
168,"(24.1837584, 120.6037066)","(24.1272197, 120.6957156)",2018-01-09 12:48:00,35 だ,1.0
169,"(24.1837584, 120.6037066)","(24.1850085, 120.5183865)",2018-01-09 11:50:00,26 だ,1.0
170,"(24.1837584, 120.6037066)","(24.1143421, 120.5221614)",2018-01-09 20:40:00,23 だ,1.0
171,"(24.1837584, 120.6037066)","(24.1865653, 120.6518115)",2018-01-09 13:44:00,19 だ,1.0
172,"(24.1837584, 120.6037066)","(24.1670676, 120.500931)",2018-01-09 22:52:00,25 だ,1.0
173,"(24.1837584, 120.6037066)","(24.1344475, 120.5339831)",2018-01-09 08:12:00,34 だ,1.0
174,"(24.1837584, 120.6037066)","(24.1885291, 120.552767)",2018-01-09 02:48:00,15 だ,1.0
175,"(24.1837584, 120.6037066)","(24.1630014, 120.6100498)",2018-01-09 04:24:00,15 だ,1.0
176,"(24.1837584, 120.6037066)","(24.1684254, 120.6642839)",2018-01-09 15:56:00,25 だ,1.0
177,"(24.1837584, 120.6037066)","(24.1697686, 120.5736374)",2018-01-09 14:25:00,15 だ,1.0
178,"(24.1837584, 120.6037066)","(24.1197781, 120.5121043)",2018-01-09 18:53:00,25 だ,1.0
179,"(24.1837584, 120.6037066)","(24.1432234, 120.5327686)",2018-01-09 22:41:00,35 だ,1.0
180,"(24.1837584, 120.6037066)","(24.1278307, 120.6659114)",2018-01-09 08:47:00,32 だ,1.0
181,"(24.1837584, 120.6037066)","(24.1109169, 120.5994363)",2018-01-09 08:00:00,22 だ,1.0
182,"(24.1837584, 120.6037066)","(24.1526034, 120.658094)",2018-01-09 13:26:00,22 だ,1.0
183,"(24.1837584, 120.6037066)","(24.1615568, 120.545311)",2018-01-09 09:38:00,24 だ,1.0
184,"(24.1837584, 120.6037066)","(24.1940136, 120.6466779)",2018-01-09 17:15:00,18 だ,1.0
185,"(24.1837584, 120.6037066)","(24.122759, 120.6134922)",2018-01-09 04:38:00,20 だ,1.0
186,"(24.1837584, 120.6037066)","(24.120565, 120.6765757)",2018-01-09 15:16:00,38 だ,1.0
187,"(24.1837584, 120.6037066)","(24.1564084, 120.6584943)",2018-01-09 16:19:00,20 だ,1.0
188,"(24.1837584, 120.6037066)","(24.1803304, 120.583284)",2018-01-09 18:38:00,9 だ,1.0
189,"(24.1837584, 120.6037066)","(24.1644392, 120.6532216)",2018-01-09 10:06:00,20 だ,1.0
190,"(24.1837584, 120.6037066)","(24.1478746, 120.6376576)",2018-01-09 05:26:00,21 だ,1.0
191,"(24.1837584, 120.6037066)","(24.1500548, 120.6526493)",2018-01-09 14:42:00,24 だ,1.0
192,"(24.1837584, 120.6037066)","(24.1131551, 120.6936795)",2018-01-09 15:11:00,36 だ,1.0
193,"(24.1837584, 120.6037066)","(24.1572089, 120.5008202)",2018-01-09 12:43:00,23 だ,1.0
194,"(24.1837584, 120.6037066)","(24.1571834, 120.6871852)",2018-01-09 08:23:00,32 だ,1.0
195,"(24.1837584, 120.6037066)","(24.1239582, 120.5795865)",2018-01-09 07:06:00,22 だ,1.0
196,"(24.1837584, 120.6037066)","(24.1638369, 120.6564798)",2018-01-09 11:09:00,20 だ,1.0
197,"(24.1837584, 120.6037066)","(24.1326933, 120.661312)",2018-01-09 07:39:00,28 だ,1.0
198,"(24.1837584, 120.6037066)","(24.1065458, 120.5970578)",2018-01-09 11:55:00,23 だ,1.0
199,"(24.1837584, 120.6037066)","(24.1489478, 120.6368461)",2018-01-09 19:40:00,21 だ,1.0
200,"(24.1837584, 120.6037066)","(24.1229923, 120.5828689)",2018-01-09 04:29:00,23 だ,1.0
201,"(24.1837584, 120.6037066)","(24.1363288, 120.628231)",2018-01-09 20:57:00,21 だ,1.0
202,"(24.1837584, 120.6037066)","(24.1519644, 120.6606451)",2018-01-09 17:21:00,23 だ,1.0
203,"(24.1837584, 120.6037066)","(24.1010749, 120.6539415)",2018-01-09 19:28:00,28 だ,1.0
204,"(24.1837584, 120.6037066)","(24.1097667, 120.6662932)",2018-01-09 04:45:00,33 だ,1.0
205,"(24.1837584, 120.6037066)","(24.1303436, 120.5311401)",2018-01-09 11:01:00,24 だ,1.0
206,"(24.1837584, 120.6037066)","(24.1008654, 120.5846626)",2018-01-09 05:28:00,21 だ,1.0
207,"(24.1837584, 120.6037066)","(24.188554, 120.5813578)",2018-01-09 03:40:00,6 だ,1.0
208,"(24.1837584, 120.6037066)","(24.1500069, 120.552323)",2018-01-09 10:20:00,23 だ,1.0
209,"(24.1837584, 120.6037066)","(24.1593148, 120.5813316)",2018-01-09 08:30:00,18 だ,1.0
210,"(24.1837584, 120.6037066)","(24.1301836, 120.6143837)",2018-01-09 21:51:00,22 だ,1.0
211,"(24.1837584, 120.6037066)","(24.1957781, 120.6799753)",2018-01-09 13:32:00,20 だ,1.0
212,"(24.1837584, 120.6037066)","(24.1854212, 120.5833357)",2018-01-09 19:36:00,8 だ,1.0
213,"(24.1837584, 120.6037066)","(24.1715421, 120.512725)",2018-01-09 02:40:00,22 だ,1.0
214,"(24.1837584, 120.6037066)","(24.1876099, 120.522657)",2018-01-09 13:25:00,25 だ,1.0
215,"(24.1837584, 120.6037066)","(24.1790935, 120.5227241)",2018-01-09 02:05:00,27 だ,1.0
216,"(24.1837584, 120.6037066)","(24.133476, 120.553486)",2018-01-09 13:57:00,26 だ,1.0
217,"(24.1837584, 120.6037066)","(24.1560603, 120.6866783)",2018-01-09 18:29:00,33 だ,1.0
218,"(24.1837584, 120.6037066)","(24.1141337, 120.5445857)",2018-01-09 20:58:00,24 だ,1.0
219,"(24.1837584, 120.6037066)","(24.150053, 120.5950859)",2018-01-09 21:38:00,17 だ,1.0
220,"(24.1837584, 120.6037066)","(24.118853, 120.5942219)",2018-01-09 17:09:00,27 だ,1.0
221,"(24.1837584, 120.6037066)","(24.1330378, 120.6415684)",2018-01-09 20:02:00,24 だ,1.0
222,"(24.1837584, 120.6037066)","(24.1868714, 120.6099535)",2018-01-09 14:22:00,4 だ,1.0
223,"(24.1837584, 120.6037066)","(24.1863133, 120.5293387)",2018-01-09 18:14:00,25 だ,1.0
224,"(24.1837584, 120.6037066)","(24.1510051, 120.5913138)",2018-01-09 14:54:00,20 だ,1.0
225,"(24.1837584, 120.6037066)","(24.1510734, 120.6852518)",2018-01-09 03:14:00,33 だ,1.0
226,"(24.1837584, 120.6037066)","(24.1343834, 120.5403565)",2018-01-09 18:18:00,27 だ,1.0
227,"(24.1837584, 120.6037066)","(24.1375532, 120.652975)",2018-01-09 20:57:00,26 だ,1.0
228,"(24.1837584, 120.6037066)","(24.1757101, 120.5855648)",2018-01-09 13:10:00,13 だ,1.0
229,"(24.1837584, 120.6037066)","(24.1289636, 120.6949187)",2018-01-09 20:32:00,36 だ,1.0
230,"(24.1837584, 120.6037066)","(24.1618749, 120.6720996)",2018-01-09 21:34:00,25 だ,1.0
231,"(24.1837584, 120.6037066)","(24.1308345, 120.547804)",2018-01-09 03:32:00,27 だ,1.0
232,"(24.1837584, 120.6037066)","(24.1007225, 120.5852231)",2018-01-09 20:35:00,21 だ,1.0
233,"(24.1837584, 120.6037066)","(24.1258433, 120.5508342)",2018-01-09 08:45:00,26 だ,1.0
234,"(24.1837584, 120.6037066)","(24.1042498, 120.5936925)",2018-01-09 21:28:00,22 だ,1.0
235,"(24.1837584, 120.6037066)","(24.1067938, 120.5776934)",2018-01-09 05:47:00,25 だ,1.0
236,"(24.1837584, 120.6037066)","(24.1420088, 120.5767215)",2018-01-09 10:07:00,24 だ,1.0
237,"(24.1837584, 120.6037066)","(24.1104707, 120.6055814)",2018-01-09 07:28:00,22 だ,1.0
238,"(24.1837584, 120.6037066)","(24.1349376, 120.685424)",2018-01-09 20:19:00,33 だ,1.0
239,"(24.1837584, 120.6037066)","(24.1425335, 120.5418755)",2018-01-09 09:24:00,28 だ,1.0
240,"(24.1837584, 120.6037066)","(24.1912213, 120.5865068)",2018-01-09 12:41:00,7 だ,1.0
241,"(24.1837584, 120.6037066)","(24.1547004, 120.6949062)",2018-01-09 02:38:00,34 だ,1.0
242,"(24.1837584, 120.6037066)","(24.1975476, 120.5435975)",2018-01-09 06:50:00,19 だ,1.0
243,"(24.1837584, 120.6037066)","(24.115543, 120.5317042)",2018-01-09 19:27:00,23 だ,1.0
244,"(24.1837584, 120.6037066)","(24.1888269, 120.5943876)",2018-01-09 14:47:00,7 だ,1.0
245,"(24.1837584, 120.6037066)","(24.1312265, 120.6002916)",2018-01-09 11:19:00,25 だ,1.0
246,"(24.1837584, 120.6037066)","(24.1670504, 120.6119249)",2018-01-09 08:38:00,12 だ,1.0
247,"(24.1837584, 120.6037066)","(24.1569596, 120.6717741)",2018-01-09 20:51:00,26 だ,1.0
248,"(24.1837584, 120.6037066)","(24.1785731, 120.5777721)",2018-01-09 04:40:00,12 だ,1.0
249,"(24.1837584, 120.6037066)","(24.1260858, 120.5981412)",2018-01-09 11:28:00,31 だ,1.0
250,"(24.1837584, 120.6037066)","(24.188807, 120.5658069)",2018-01-09 04:17:00,21 だ,1.0
251,"(24.1837584, 120.6037066)","(24.1182094, 120.6801646)",2018-01-09 07:20:00,36 だ,1.0
252,"(24.1837584, 120.6037066)","(24.154048, 120.6400029)",2018-01-09 15:46:00,20 だ,1.0
253,"(24.1837584, 120.6037066)","(24.1998746, 120.6429768)",2018-01-09 21:31:00,15 だ,1.0
