,cctvid,roadsection,locationpath,startlocationpoint,endlocationpoint,px,py,url
134,64000C000135,大業北路(大業北路/漢民路到大業北路/中鋼路),2580,2583,2584,120.35267,22.55786,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000135&w=340&h=260
135,64000C000136,旗津渡輪站,-99,-99,-99,120.26909,22.61412,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000136&w=340&h=260
136,64000C000137,中華路(中華五路/復興三路到中華五路/凱旋四路),2132,2150,2151,120.30844,22.59689,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000137&w=340&h=260
137,64000C000138,成功路(成功二路/復興三路到成功二路/擴建路),2303,2313,2314,120.30485,22.59571,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000138&w=340&h=260
138,64000C000139,成功路(成功一路/三多四路到成功二路/復興三路),2303,2312,2313,120.29913,22.61055,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000139&w=340&h=260
139,64000C000140,成功路(成功一路/三多四路到成功二路/擴建路),2303,2312,2314,120.30120,22.60529,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000140&w=340&h=260
140,64000C000141,台 17(東林路/沿海三路到下厝路/中門路),4432,4509,9146,120.36248,22.51065,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000141&w=340&h=260
141,64000C000142,金福路(金福路/新生路到金福路/港壽街),2533,2534,2536,120.32853,22.57106,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000142&w=340&h=260
142,64000C000143,新生路(新生路/鎮港路到新生路/漁港路),2514,2516,2518,120.31229,22.58072,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000143&w=340&h=260
143,64000C000144,旗津路(旗津二路/敦和街到旗津一路/廣澤街),2524,2527,2526,120.29915,22.57064,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000144&w=340&h=260
144,64000C000145,漁港路(漁港路/德昌路到漁港路/翠亨北路),2543,2545,2547,120.32290,22.58181,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000145&w=340&h=260
145,64000C000146,民權路(民權一路/青年一路到民權二路/三多三路),2419,2422,2424,120.31330,22.62032,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000146&w=340&h=260
146,64000C000147,明誠路/金鼎路,-99,-99,-99,120.33052,22.66013,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000147&w=340&h=260
147,64000C000148,大中路(高雄)(大中二路/澄觀路到大中二路/民族一路),2084,2085,2087,120.32319,22.67656,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000148&w=340&h=260
148,64000C000149,旗楠路(旗楠路/立民路到旗楠路/楠梓新路),2618,2619,2620,120.33497,22.73781,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000149&w=340&h=260
149,64000C000150,台 22(旗楠路/楠梓新路到旗楠路/立民路),4797,4799,4801,120.32250,22.60165,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000150&w=340&h=260
150,64000C000151,台 1戊(建國一路/正義路到台 1戊/台 25),4625,4634,4636,120.36191,22.62554,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000151&w=340&h=260
151,64000C000152,瑞隆東路出口閘道南向路口,-99,-99,-99,120.34096,22.60619,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000152&w=340&h=260
152,64000C000153,台88鳳山交流道東向,-99,-99,-99,120.35889,22.59011,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000153&w=340&h=260
153,64000C000154,台88鳳山交流道西向,-99,-99,-99,120.35888,22.59042,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000154&w=340&h=260
154,64000C000155,自由路(高雄)(自由一路/三多一路到自由路/澄清路),2472,2473,2474,120.34434,22.62487,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000155&w=340&h=260
155,64000C000156,台 1戊(建國一路/正義路到台 1戊/台 25),4625,4634,4635,120.33954,22.62949,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000156&w=340&h=260
156,64000C000157,台 1戊(建國一路/正義路到台 1戊/台 25),4625,4634,4635,120.35660,22.62604,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000157&w=340&h=260
157,64000C000158,縣 181(八德路433巷/青年路二段到八德路433巷/青年路二段),9432,9436,9436,120.34664,22.64785,http://traffic.kctmc.nat.gov.tw/CCTV/cctv_view_atis.jsp?cctv_id=C000158&w=340&h=260
